Variant,F1-macro,ROC-AUC,PR-AUC,Balanced-Acc
"v7 baseline (no profile, no FiLM)",0.7404699229794287,0.810570235345213,0.7482906535987504,0.7432441321055183
v8.2 (stress profile + FiLM + TTA×5),0.7370084281349928,0.8242509740484538,0.7535795779991439,0.7356366405871356
