Variant,F1-macro,ROC-AUC,PR-AUC,Balanced-Acc
"v7 baseline (no profile, no FiLM)",0.8276118994924315,0.9099727603986643,0.8717105976666438,0.8293606167129268
v8.2 (stress profile + FiLM + TTA×5),0.820514910163925,0.9095752529018666,0.8759975285235186,0.8177799395200621
