acc_mean,acc_std,acc_rms,acc_zc,acc_b01,acc_b15,acc_b5,acc_b15_30,hr_mean,ibi_sdnn,ibi_rmssd,y
15.927683169412624,12.745025098702861,20.399185177017884,0.0,0.0013509891280935047,0.006151908945959763,0.02925760432468719,0.20608223076857624,60000000000.0,1e-09,0.0,0
16.52057191329784,12.57996886109155,20.764992484066028,0.0,0.0009026462721742754,0.005153110515047301,0.03518525831372447,0.18395333799317867,60000000000.0,1e-09,0.0,0
16.28187217680442,11.603370559180556,19.993438170866195,0.0,0.001390259428729477,0.003281087088385044,0.030444298056040334,0.16745659060963508,60000000000.0,1e-09,0.0,0
15.998982724568105,11.455418937453004,19.677247552202893,0.0,0.0014034719680988674,0.0027689955007645334,0.03259675699700928,0.16733572566591035,60000000000.0,1e-09,0.0,0
15.778959703992584,11.64060081621061,19.60814006170151,0.0,0.0008370386187604317,0.004093511056476891,0.03504943393071461,0.17399985177526392,60000000000.0,1e-09,0.0,0
16.1460752768819,12.198291973642426,20.23595992031437,0.0,0.001062403379096216,0.005662074245394603,0.03916910765972307,0.17618345625775433,60000000000.0,1e-09,0.0,0
16.676499454152843,12.203030350238175,20.664452176353187,0.0,0.0023694387450471756,0.0064066050200486365,0.03041564503752815,0.17224574877137855,60000000000.0,1e-09,0.0,0
17.029813286998696,12.545447927137905,21.151898360607618,0.0,0.000770851963785455,0.0074461779592917025,0.0312674821014231,0.17394789983239575,60000000000.0,1e-09,0.0,0
16.598230368259102,12.482498569989499,20.768101065880423,0.0,0.0017272408095575678,0.008651499730484182,0.02997263307701356,0.18029509702447719,60000000000.0,1e-09,0.0,0
15.854923051909466,12.23253012773394,20.025318431511238,0.0,0.0031838845361532083,0.008002695573460611,0.03277772291242936,0.18560171300339326,60000000000.0,1e-09,0.0,0
15.024879235814272,11.920455955082918,19.179266571066623,0.0,0.002928909616832037,0.00965804201445997,0.03089147043169899,0.19595193077693118,60000000000.0,1e-09,0.0,0
15.016172967324364,11.987836570206172,19.214413240965744,0.0,0.0028965818530988603,0.009608911008932804,0.04118823827001092,0.18796344114600108,60000000000.0,1e-09,0.0,0
