subject,n_test,f1_macro,roc_auc,pr_auc,balanced_acc,f1_aerobic,auc_aerobic,f1_anaerobic,auc_anaerobic
physionet_S01,633,0.7393130714109217,0.888038803880388,0.8827567611142195,0.7402790279027902,0.8143292682926829,0.9853984450923227,0.5322076713421525,0.8409657320872275
physionet_S02,627,0.6125391994215281,0.7712306970482039,0.7842690287685395,0.6215652475469697,0.531673059566787,0.9086935286935287,0.579328165374677,0.9722607489597781
physionet_S03,534,0.7787582316940209,0.9231624737797924,0.9187639230589536,0.7780890571987668,0.9191987673343606,0.997976707461508,0.5459209234283883,0.9138221933809214
physionet_S04,636,0.7196572730424446,0.8525582593532023,0.8636044424630593,0.719720989220038,0.7683738017767245,0.9587220602526725,0.5357200863129075,0.8955676988463874
physionet_S05,618,0.7569735738255033,0.7745550013126805,0.6536520783760049,0.7611656602782882,0.821988669559452,0.9009137635636779,0.6038129605878133,0.6126526082130965
physionet_S06,578,0.7961125532511464,0.8522532253225322,0.7259879925480055,0.7953375337533753,0.824798443147067,0.9843031251481956,0.6993699369936994,0.6085137085137085
physionet_S07,573,0.7036081436443211,0.7357737470400116,0.7968547222064358,0.7042575006713376,0.8371790705232369,0.9653696777905638,0.4219020913157951,0.6306419960751332
physionet_S08,642,0.8215551386283093,0.9133948177426437,0.9109014296745592,0.8189430537256625,0.8354504493037701,0.9860579283259695,0.7971590909090909,0.8709816612729234
physionet_S09,632,0.8827128913499253,0.9802929961870359,0.981403727085629,0.8864740116395746,0.866235259578216,0.9781196581196582,0.9118788819875776,0.9713395638629283
physionet_S10,633,0.8379692832764505,0.8819697394228077,0.8025436733273903,0.8445242765080254,0.8341975982532751,0.8707889854506395,0.841995841995842,0.9147502903600465
physionet_S11,616,0.7686131761641088,0.833423277567908,0.758747491266734,0.7870596700633843,0.6719634257307087,0.7858980813335572,0.9071316614420062,0.9674285714285715
physionet_S12,225,0.897705034691336,0.9692466624284807,0.9537813266935541,0.9049586776859504,,,0.897705034691336,0.9692466624284807
physionet_S13,642,0.7641555642633229,0.8538909218312052,0.8809546489945015,0.763381734662099,0.8326114024165687,0.9696038728296794,0.5654526977524638,0.8648058630905973
physionet_S14,655,0.7694656488549618,0.8615951492537313,0.8537184413193835,0.7698694029850746,0.8363411755016883,0.9682141632373115,0.5958001768346596,0.5709437621202327
physionet_S15,636,0.6615944623463421,0.7795702119231531,0.7930899887789986,0.6673202614379086,0.5462782141304814,0.5905494505494505,0.8645724984397753,0.9924924924924925
physionet_S16,654,0.7703329119258322,0.8464742719673497,0.8264781840274242,0.7702402905578073,0.8315352697095436,0.9544780653785393,0.6457142857142857,0.7921545667447307
physionet_S17,637,0.7211426451493229,0.8142907885389534,0.7579254215703047,0.7209971189517721,0.726976418459444,0.9233229176838201,0.6510569105691058,0.8790808358741727
physionet_S18,634,0.8817008212525532,0.8919765088291306,0.7785442525719872,0.8832171736811143,0.9258492633629611,0.9875889539261167,0.8009429020429544,0.7977884317970925
physionet_f01,1059,0.8172529005727713,0.8986492554067199,0.8740020363559208,0.8244761655316919,0.8218674281758394,0.9317064951840723,0.8123202301054651,0.9873719127693116
physionet_f02,825,0.7844615611591281,0.8974110455713062,0.869809772329882,0.7803997003139568,0.548116429627364,0.8918990352847892,0.9095197047057003,0.9612269453872816
physionet_f03,1123,0.7899417201341212,0.8947285601888277,0.8106067357259756,0.8088341942325454,0.8464178464178465,0.956523569023569,0.7382634631814026,0.9506221719457013
physionet_f04,789,0.9220377200783365,0.968520694607651,0.9426045985703998,0.9258127692910302,0.9388368519648909,0.9807110307162485,0.8862334584238594,0.9512050279606078
physionet_f05,1082,0.9573607534772584,0.9951517306780464,0.9886753644156729,0.9707246720404614,0.9688424434030354,0.9992317577382948,0.9430272108843537,0.9954701180053294
physionet_f06,895,0.6879175128886111,0.8763212003334261,0.8053010408722534,0.7540566824117811,0.7328548644338118,0.9764086675749828,0.544585902732927,0.718073283800089
physionet_f07,941,0.6512557697275079,0.7570119080873605,0.5214394317755805,0.6580666687358391,0.7664448929755052,0.8363732742211406,0.5301153954404729,0.6279940398584467
physionet_f08,892,0.7824772345057547,0.818573645777676,0.8329189813905349,0.7851029183522886,0.8166301830525682,0.92821609016712,0.7401684093643008,0.7565461565461564
physionet_f09,872,0.8827281460134486,0.9644406503017418,0.9564572906818257,0.8763073685114791,0.829461450606825,0.9620732853116192,0.94655794954451,0.990976443768997
physionet_f10,799,0.7643352754877548,0.8607358270691134,0.8292763020832932,0.7627610803058049,0.8695630319683667,0.9244344316155074,0.5510890392210535,0.7023979591836735
physionet_f11,927,0.5979820535572623,0.6366332398650254,0.6461319888599508,0.6000546551969963,0.411914866460321,0.9238871899422358,0.6113621507943274,0.5817921440261866
physionet_f12,942,0.7982807672305668,0.85554643313264,0.8477592840395353,0.8008210180623974,0.6430484364038569,0.6953953440672752,0.9355673437702161,0.9898557590211869
physionet_f13,1083,0.8008721535323259,0.9175491175491177,0.8715689859786362,0.833028083028083,0.7616760774919675,0.9987862394229435,0.8365707674165054,0.8937347076891041
