Variant,F1-macro,ROC-AUC,PR-AUC,Balanced-Acc
v7 baseline (no profile),0.7905142133811667,0.8949767608888342,0.8580783098931796,0.7882448646180273
v8.1 (with stress profile),0.8261017010281739,0.911994436680978,0.8720129128555594,0.8348737922283884
