Variant,F1-macro,ROC-AUC,PR-AUC,Balanced-Acc
"v7 baseline (no profile, no FiLM)",0.7816952190464456,0.8967638617259147,0.8609166819941199,0.7746756195951483
v8.2 (stress profile + FiLM + TTA×5),0.8114297350967593,0.9057263609771967,0.8700941462983254,0.8112564066915892
