F1-macro,BalancedAcc,ROC-AUC,PR-AUC,Brier,method,split
0.45141065830721006,0.4921875,0.5511067708333334,0.4056067367701086,0.2370058908145946,LR,KFold_1
0.4793491864831039,0.5208333333333333,0.5528971354166666,0.4682314528515714,0.2316156794084247,LR,KFold_2
0.4630089012111484,0.5,0.5081380208333334,0.40297851078282115,0.23996551398242577,LR,KFold_3
0.4337606837606837,0.48263888888888884,0.5712632275132274,0.41865364292366813,0.22876146084870194,LR,KFold_4
0.44342818428184283,0.5232730263157894,0.6728618421052632,0.5370951760227325,0.2181288862487,LR,KFold_5
0.7245245245245245,0.7291666666666667,0.8352050781250001,0.7349689168405337,0.15856305555555555,RF,KFold_1
0.6961544548188004,0.7057291666666667,0.782470703125,0.6257016332229836,0.18381951388888887,RF,KFold_2
0.7218082463984103,0.71875,0.81005859375,0.6576571428938935,0.17540256944444446,RF,KFold_3
0.7987916887782178,0.8030753968253967,0.8877314814814815,0.7845158042732008,0.13767456324248778,RF,KFold_4
0.7717484926787253,0.7724506578947368,0.8554276315789473,0.7793909378757321,0.15257225716282322,RF,KFold_5
0.7047022949767292,0.7083333333333333,0.7955729166666667,0.6548452700066423,0.17618925360027468,GBDT,KFold_1
0.6581737616711505,0.6666666666666667,0.7477213541666667,0.6406997239766787,0.20456686548546438,GBDT,KFold_2
0.7142738485817517,0.7109375,0.7823893229166667,0.6147818385547634,0.19014457268765417,GBDT,KFold_3
0.7738264580369844,0.7795138888888888,0.8273809523809524,0.6884768119805597,0.15958588011987532,GBDT,KFold_4
0.7221296484454379,0.7252467105263158,0.830592105263158,0.716359530249709,0.16418162599027922,GBDT,KFold_5
