Variant,F1-macro,ROC-AUC,PR-AUC,Balanced-Acc
"v7 baseline (no profile, no FiLM)",0.7444832719160077,0.7662983955738232,0.7074757735269716,0.7466887073322717
v8.2 (stress profile + FiLM + TTA×5),0.7352241407503086,0.7907562959093112,0.7635771159009604,0.7419182302845669
