Experiment,N_windows,N_subjects,best_epoch,val_F1,test_F1,ROC-AUC,PR-AUC,Bal_Acc,LOSO_F1_med,LOSO_F1_IQR,TrVa_gap
physionet_only,23034,31,8,0.7992596874184347,0.7871421209344938,0.843284523937892,0.8024389902658349,0.788081515514427,0.8349889908198767,0.09913693752613661,-0.0055912809981153305
wsd4fedsrm_forearm,4492,34,2,0.5815332290908567,0.44199833293000995,0.48567953546767106,0.7423601483129427,0.48214285714285715,0.4843127417300569,0.1928014042890459,-0.013163845672363395
combined_wrist,27526,65,35,0.6906325626961147,0.7760450964275021,0.8299789996601228,0.8319165355423817,0.7775485206033546,0.4629629629629629,0.4192292756531634,-0.010980869463902254
